applicant_id,business_name,sector,vintage_months,gst_filing_regularity,gst_turnover_growth,gst_itc_mismatch_rate,upi_avg_daily_inflow,upi_inflow_volatility,upi_customer_concentration,aa_avg_balance,aa_bounce_rate,aa_existing_emi_ratio,bureau_thin_signal,default_12m
MSME1394,"Gola, Nayak and Wadhwa",Agri-trade,32,0.847,0.047,0.191,20317.32,0.283,0.048,85035.75,0.168,0.103,0.716,1
MSME1395,Kamdar-Saran,Retail/Kirana,45,0.659,0.011,0.269,17391.89,0.089,0.276,37462.35,0.292,0.226,0.608,1
MSME1396,Bakshi-Sunder,Services,7,0.848,-0.191,0.046,22993.82,0.458,0.266,41924.8,0.046,0.278,0.651,0
MSME1397,"Ganesan, Lala and Kant",Services,45,0.829,-0.042,0.068,14626.09,0.094,0.248,65664.24,0.067,0.247,0.4,1
MSME1398,Setty Group,Auto components,92,0.499,-0.076,0.148,13783.4,0.038,0.228,10806.68,0.169,0.217,0.526,0
MSME1399,"Karan, Lall and Mukherjee",Retail/Kirana,49,0.492,0.168,0.094,28742.47,0.31,0.072,28724.28,0.062,0.327,0.127,0
MSME1400,Chaudhary PLC,Agri-trade,77,0.907,0.259,0.306,11148.34,0.242,0.221,41557.54,0.178,0.022,0.28,0
MSME1401,"Panchal, Sha and Sangha",Agri-trade,68,0.732,0.026,0.065,29915.0,0.182,0.301,60229.0,0.121,0.193,0.061,0
MSME1402,"Dhar, Apte and Rai",Agri-trade,82,0.936,0.344,0.484,7768.9,0.435,0.441,19115.98,0.039,0.295,0.354,0
MSME1403,Behl Inc,Wholesale Trade,40,0.787,-0.206,0.328,9503.29,0.152,0.376,80014.12,0.113,0.133,0.07,0
MSME1404,Palan Ltd,Agri-trade,25,0.7,0.149,0.282,16953.35,0.664,0.237,32430.83,0.066,0.403,0.35,0
MSME1405,Deshmukh-Rege,Food & Beverage,86,0.565,-0.181,0.169,500.0,0.486,0.231,39457.09,0.125,0.16,0.433,0
MSME1406,"Dey, Minhas and Oommen",Wholesale Trade,20,0.631,0.079,0.228,26129.96,0.382,0.233,32162.45,0.109,0.168,0.237,1
MSME1407,"Gole, Rana and Dutt",Manufacturing,7,0.944,-0.002,0.239,500.0,0.067,0.484,21497.19,0.281,0.083,0.373,1
MSME1408,Kulkarni LLC,Wholesale Trade,51,0.67,-0.013,0.056,4267.16,0.373,0.44,50045.23,0.347,0.422,0.781,0
MSME1409,Rao and Sons,Retail/Kirana,48,0.509,0.115,0.389,11167.61,0.535,0.14,17713.11,0.03,0.227,0.293,1
MSME1410,"Dugar, Suri and Baria",Food & Beverage,14,0.685,0.118,0.14,25383.05,0.269,0.064,7066.46,0.332,0.212,0.516,0
MSME1411,"Seshadri, Pant and Menon",Wholesale Trade,15,0.653,0.073,0.292,20470.49,0.301,0.154,22105.61,0.066,0.377,0.255,1
MSME1412,Mangal-Kalla,Manufacturing,65,0.795,-0.131,0.328,3265.8,0.048,0.07,41133.21,0.134,0.145,0.388,1
MSME1413,"Chand, Grover and Thaker",Retail/Kirana,87,0.612,0.256,0.083,15650.69,0.224,0.28,91864.13,0.034,0.16,0.276,0
MSME1414,Mody-Bail,Retail/Kirana,9,0.607,0.172,0.076,11651.08,0.199,0.064,53121.96,0.03,0.52,0.815,1
MSME1415,Deshpande-Mutti,Services,64,0.715,0.115,0.387,17869.72,0.446,0.043,22817.88,0.435,0.267,0.763,1
MSME1416,Bajwa-Koshy,Manufacturing,27,0.52,0.01,0.135,16586.22,0.063,0.07,92585.69,0.396,0.364,0.753,0
MSME1417,Narain Group,Retail/Kirana,69,0.969,-0.05,0.118,15133.82,0.116,0.046,47857.57,0.131,0.089,0.555,0
MSME1418,"Modi, Yohannan and Anne",Agri-trade,32,0.99,-0.048,0.374,29273.42,0.121,0.267,52174.05,0.013,0.31,0.402,0
MSME1419,Basu and Sons,Retail/Kirana,78,0.827,-0.056,0.037,17966.33,0.066,0.452,63981.84,0.055,0.237,0.687,0
MSME1420,"Johal, Bains and Sarraf",Food & Beverage,36,0.752,0.063,0.358,500.0,0.192,0.071,52108.94,0.124,0.195,0.3,0
MSME1421,"Om, Apte and Kaul",Food & Beverage,74,0.76,0.148,0.152,7185.77,0.467,0.211,0.0,0.13,0.169,0.595,0
MSME1422,Sandhu Inc,Services,81,0.85,0.066,0.37,500.0,0.412,0.26,42602.65,0.338,0.184,0.735,1
MSME1423,Luthra-Dua,Textiles,15,0.578,-0.185,0.262,13089.39,0.213,0.207,45883.66,0.214,0.262,0.638,1
MSME1424,Keer and Sons,Auto components,35,0.959,-0.01,0.15,7026.13,0.493,0.048,21638.82,0.048,0.493,0.35,0
MSME1425,"Dutt, Dyal and Kakar",Wholesale Trade,54,0.793,0.2,0.282,500.0,0.111,0.094,26752.84,0.119,0.24,0.387,0
MSME1426,"Baral, Tata and Dave",Agri-trade,48,0.583,-0.096,0.102,12126.07,0.224,0.038,29133.72,0.205,0.046,0.275,1
MSME1427,Mangat-Khanna,Food & Beverage,26,0.963,-0.097,0.441,43594.93,0.173,0.292,46113.24,0.101,0.386,0.726,0
MSME1428,Sachdev LLC,Agri-trade,67,0.866,-0.087,0.159,30765.74,0.505,0.551,63589.75,0.203,0.409,0.592,0
MSME1429,Lalla PLC,Textiles,39,0.354,0.091,0.045,10544.71,0.379,0.148,86160.52,0.094,0.347,0.569,0
MSME1430,"Bir, Bala and Chana",Retail/Kirana,27,0.586,0.141,0.18,29883.72,0.203,0.483,101465.41,0.142,0.243,0.813,0
MSME1431,"Loyal, Bhardwaj and Yogi",Auto components,30,0.581,0.462,0.761,24050.79,0.277,0.118,36330.94,0.123,0.081,0.757,0
MSME1432,"Nanda, Sagar and Barman",Textiles,61,0.932,-0.084,0.182,16704.75,0.414,0.115,0.0,0.019,0.148,0.31,1
MSME1433,Ahuja-Saha,Auto components,86,0.7,0.152,0.263,4806.82,0.241,0.318,31556.23,0.107,0.138,0.605,0
MSME1434,"Varty, Goswami and Rajagopal",Textiles,93,0.703,0.191,0.229,9773.92,0.462,0.08,66709.93,0.012,0.1,0.381,0
MSME1435,"Gola, Dugar and Majumdar",Services,46,0.802,0.18,0.08,34925.02,0.229,0.177,74704.84,0.118,0.437,0.773,0
MSME1436,"Anne, Kaul and Zacharia",Auto components,85,0.681,0.237,0.498,18111.64,0.269,0.207,57728.85,0.098,0.494,0.098,0
MSME1437,Chaudhuri-Divan,Retail/Kirana,32,0.654,0.415,0.091,12574.19,0.404,0.274,41623.01,0.087,0.233,0.669,0
MSME1438,Muni-Dani,Retail/Kirana,15,0.59,0.185,0.166,23805.05,0.225,0.685,68180.51,0.109,0.037,0.648,1
MSME1439,Sani-Mishra,Food & Beverage,66,0.726,-0.238,0.257,18153.15,0.205,0.209,83890.91,0.031,0.407,0.494,0
MSME1440,"Choudhury, Gandhi and Menon",Food & Beverage,41,0.948,0.213,0.061,14417.19,0.192,0.48,58891.74,0.008,0.055,0.812,0
MSME1441,Goswami PLC,Textiles,28,0.477,0.232,0.104,16853.61,0.302,0.236,24896.08,0.185,0.125,0.398,0
MSME1442,Subramanian-Narayan,Services,32,0.781,0.084,0.046,500.0,0.161,0.151,38550.25,0.19,0.204,0.269,1
MSME1443,Aurora-Dugar,Textiles,77,0.753,0.201,0.324,22118.25,0.124,0.154,74535.69,0.088,0.245,0.505,0
MSME1444,Gopal-Nath,Food & Beverage,65,0.799,0.087,0.257,16520.59,0.503,0.034,33306.97,0.276,0.145,0.627,0
MSME1445,Dhingra LLC,Manufacturing,45,0.722,0.034,0.207,500.0,0.624,0.171,93654.21,0.033,0.315,0.216,0
MSME1446,Chaudhari Inc,Services,52,0.201,0.081,0.266,25900.17,0.192,0.645,52930.15,0.018,0.246,0.307,1
MSME1447,"Chahal, Mani and Nath",Services,60,0.279,0.304,0.263,15645.98,0.239,0.066,70988.19,0.053,0.145,0.297,0
MSME1448,Desai-Morar,Auto components,88,0.42,0.09,0.405,22901.06,0.302,0.385,69359.96,0.049,0.209,0.471,1
MSME1449,Gill PLC,Wholesale Trade,72,0.72,-0.168,0.523,44270.23,0.166,0.257,0.0,0.128,0.255,0.738,0
MSME1450,"Dutta, Dyal and Sarma",Wholesale Trade,86,0.397,-0.122,0.235,26292.45,0.241,0.385,78821.59,0.13,0.36,0.449,0
MSME1451,"Thaman, Dhar and Sami",Food & Beverage,57,0.61,0.041,0.367,15870.87,0.414,0.271,59989.93,0.031,0.262,0.2,1
MSME1452,Kala Group,Manufacturing,12,0.726,-0.183,0.259,38620.67,0.241,0.134,60929.8,0.058,0.211,0.279,0
MSME1453,Gala PLC,Services,23,0.506,0.299,0.381,46985.35,0.123,0.092,45549.2,0.091,0.105,0.369,0
MSME1454,"Wali, More and Chaudhary",Manufacturing,13,0.739,0.233,0.198,37012.87,0.359,0.44,60376.35,0.138,0.143,0.521,0
MSME1455,"Master, Sodhi and Chawla",Agri-trade,41,0.732,-0.051,0.072,32166.33,0.467,0.383,76633.07,0.354,0.138,0.758,1
MSME1456,"Badal, Gill and Patel",Retail/Kirana,44,0.43,0.078,0.074,500.0,0.323,0.305,52366.15,0.244,0.475,0.267,1
MSME1457,Banik LLC,Manufacturing,86,0.818,0.077,0.178,500.0,0.484,0.407,64820.35,0.245,0.442,0.396,0
MSME1458,Parsa PLC,Auto components,78,0.751,0.337,0.1,16427.87,0.102,0.03,17952.2,0.025,0.048,0.214,0
MSME1459,"Bassi, Sane and Ahuja",Retail/Kirana,57,0.822,0.235,0.374,40584.96,0.393,0.519,75170.9,0.171,0.284,0.301,0
MSME1460,"Ramanathan, Mahajan and Garg",Retail/Kirana,55,0.931,0.214,0.195,20333.26,0.194,0.189,117153.28,0.352,0.448,0.516,0
MSME1461,Divan-Basu,Wholesale Trade,46,0.855,-0.007,0.188,19392.34,0.323,0.152,73022.07,0.057,0.236,0.361,0
MSME1462,Borde-Kalla,Food & Beverage,8,0.862,0.207,0.362,37095.21,0.149,0.468,23703.92,0.056,0.301,0.567,0
MSME1463,"Venkatesh, Parekh and Shere",Retail/Kirana,55,0.435,0.121,0.384,2193.42,0.284,0.149,77530.8,0.136,0.467,0.348,1
MSME1464,"Goswami, Deshpande and Shetty",Services,61,0.808,0.006,0.141,26451.4,0.284,0.288,45913.32,0.083,0.412,0.758,0
MSME1465,Krishna Inc,Retail/Kirana,92,0.535,0.052,0.075,28175.06,0.065,0.049,31204.57,0.059,0.102,0.322,0
MSME1466,Kapur-Rege,Manufacturing,77,0.915,0.092,0.072,10651.24,0.325,0.431,103666.83,0.303,0.194,0.488,0
MSME1467,Varma Group,Retail/Kirana,30,0.914,0.088,0.104,11346.08,0.262,0.166,10428.89,0.15,0.485,0.316,1
MSME1468,"Sahni, Keer and Bhatnagar",Wholesale Trade,51,0.446,0.007,0.193,28661.39,0.225,0.081,41587.7,0.188,0.156,0.232,1
MSME1469,Barad-Basak,Wholesale Trade,91,0.514,0.102,0.338,5652.94,0.721,0.204,51292.27,0.02,0.379,0.783,0
MSME1470,"Misra, Som and Swamy",Manufacturing,36,0.861,0.487,0.296,500.0,0.186,0.265,19358.86,0.152,0.489,0.499,0
MSME1471,Sathe-Varghese,Services,32,0.85,0.321,0.119,36071.33,0.403,0.088,71195.29,0.057,0.163,0.692,0
MSME1472,D’Alia-Khalsa,Food & Beverage,64,0.796,0.143,0.305,500.0,0.206,0.01,66705.87,0.094,0.131,0.768,1
MSME1473,More-Kapoor,Services,20,0.679,0.225,0.046,10586.75,0.341,0.152,43839.35,0.08,0.204,0.328,0
MSME1474,Reddy PLC,Textiles,51,0.894,0.063,0.174,26128.8,0.665,0.229,38224.74,0.002,0.699,0.495,0
MSME1475,Dani Ltd,Food & Beverage,37,0.498,0.063,0.156,5308.56,0.311,0.153,57792.84,0.136,0.167,0.705,0
MSME1476,"Gala, Krish and Kulkarni",Auto components,29,0.512,0.099,0.54,14575.13,0.189,0.158,51973.29,0.093,0.203,0.379,1
MSME1477,Mani Inc,Agri-trade,16,0.716,0.243,0.117,500.0,0.281,0.324,42286.8,0.281,0.376,0.527,0
MSME1478,Varty-Mitter,Agri-trade,67,0.4,0.002,0.195,6452.85,0.145,0.275,56646.82,0.042,0.508,0.48,0
MSME1479,Tara Group,Agri-trade,60,0.358,0.245,0.124,3557.86,0.242,0.1,34466.23,0.532,0.166,0.617,0
MSME1480,Koshy-Varty,Wholesale Trade,81,0.751,-0.115,0.303,8674.0,0.303,0.152,30851.29,0.314,0.389,0.387,1
MSME1481,"Sangha, Gulati and Kannan",Manufacturing,70,0.753,0.213,0.179,16137.35,0.475,0.185,21438.12,0.04,0.326,0.317,0
MSME1482,Dixit Group,Agri-trade,43,0.918,0.117,0.109,2286.21,0.449,0.219,60640.53,0.139,0.135,0.477,0
MSME1483,Kalla Group,Retail/Kirana,6,0.852,0.192,0.202,10515.89,0.43,0.093,37610.59,0.294,0.044,0.285,0
MSME1484,Varghese Inc,Food & Beverage,40,0.972,-0.022,0.111,14582.23,0.306,0.246,73166.78,0.146,0.132,0.631,0
MSME1485,Sodhi Ltd,Retail/Kirana,16,0.76,0.062,0.114,35648.95,0.303,0.496,55175.7,0.156,0.098,0.5,0
MSME1486,"Datta, Menon and Bail",Auto components,11,0.555,0.156,0.273,18114.1,0.175,0.254,12924.02,0.05,0.383,0.292,0
MSME1487,"Borra, Bala and Banerjee",Auto components,55,0.903,-0.026,0.112,674.74,0.401,0.33,34930.79,0.152,0.152,0.603,0
MSME1488,Desai-Batta,Agri-trade,72,0.35,0.038,0.059,30345.81,0.143,0.256,71206.99,0.191,0.294,0.808,0
MSME1489,"Palla, Goswami and Chanda",Wholesale Trade,14,0.527,0.184,0.2,28924.74,0.197,0.099,23537.68,0.157,0.276,0.696,1
MSME1490,Sha LLC,Food & Beverage,35,0.672,-0.059,0.318,8503.1,0.079,0.368,104757.51,0.13,0.252,0.556,1
MSME1491,Andra-Chhabra,Retail/Kirana,40,0.603,-0.041,0.194,23494.77,0.355,0.384,29316.92,0.071,0.338,0.513,0
MSME1492,Koshy PLC,Auto components,6,0.572,0.292,0.288,12151.01,0.58,0.119,82888.5,0.159,0.326,0.405,1
MSME1493,Boase-Agarwal,Auto components,61,0.835,-0.068,0.142,24196.41,0.547,0.454,551.13,0.03,0.481,0.71,1
MSME1494,"Suresh, Ranganathan and Banerjee",Textiles,48,0.636,-0.074,0.074,826.25,0.315,0.226,45354.83,0.235,0.204,0.65,0
MSME1495,Krishna and Sons,Manufacturing,94,0.669,-0.123,0.238,2556.72,0.067,0.248,68481.77,0.138,0.214,0.354,0
MSME1496,Dubey and Sons,Textiles,79,0.67,-0.014,0.357,25706.97,0.586,0.321,80537.03,0.019,0.629,0.353,0
MSME1497,Uppal-More,Wholesale Trade,63,0.684,0.282,0.116,26293.89,0.286,0.261,64944.75,0.055,0.555,0.178,1
MSME1498,"Gill, Patla and Ghose",Retail/Kirana,49,0.699,0.048,0.377,32341.83,0.462,0.15,95974.18,0.088,0.265,0.436,0
MSME1499,Basak-Rao,Manufacturing,35,0.464,0.11,0.068,17928.11,0.238,0.199,54508.93,0.247,0.032,0.071,1
MSME1500,Sood-Menon,Retail/Kirana,87,0.841,-0.135,0.209,500.0,0.174,0.349,73698.54,0.208,0.062,0.565,1
MSME1501,Dani-Kannan,Services,34,0.862,0.193,0.209,10275.68,0.437,0.184,55357.19,0.305,0.034,0.207,0
MSME1502,Dave-Tata,Services,35,0.782,-0.059,0.134,21426.82,0.494,0.13,24405.42,0.161,0.313,0.67,0
MSME1503,Mitra-Mutti,Services,8,0.749,0.219,0.198,23971.74,0.166,0.216,56848.09,0.099,0.036,0.45,0
MSME1504,Modi PLC,Wholesale Trade,9,0.667,-0.158,0.089,24163.74,0.318,0.401,7890.09,0.218,0.075,0.466,1
MSME1505,Ghose-Sane,Manufacturing,52,0.752,0.137,0.133,20729.8,0.226,0.233,26520.52,0.18,0.374,0.19,0
MSME1506,"Saxena, Bora and Tailor",Services,50,0.821,0.073,0.01,32616.4,0.131,0.174,33713.11,0.023,0.11,0.563,0
MSME1507,Nagar-Sethi,Manufacturing,46,0.672,0.015,0.124,13705.84,0.161,0.36,78262.1,0.039,0.061,0.377,1
MSME1508,Cheema PLC,Food & Beverage,49,0.782,0.057,0.052,15509.19,0.52,0.634,75643.07,0.075,0.314,0.355,0
MSME1509,Sarkar-Pal,Services,70,0.619,-0.332,0.148,27798.6,0.434,0.056,57291.36,0.279,0.233,0.239,0
MSME1510,Tiwari-Dara,Manufacturing,64,0.673,-0.067,0.242,24247.38,0.298,0.299,78192.8,0.063,0.053,0.429,0
MSME1511,Vig-Chacko,Services,66,0.662,0.111,0.45,26354.59,0.182,0.197,68501.47,0.131,0.416,0.672,0
MSME1512,Ganguly and Sons,Auto components,55,0.429,0.089,0.213,5521.12,0.039,0.243,48779.32,0.149,0.157,0.641,0
MSME1513,"Tripathi, Kale and Korpal",Auto components,18,0.796,-0.063,0.171,21414.98,0.228,0.352,42824.29,0.109,0.193,0.64,0
MSME1514,"Bhardwaj, Sidhu and Prakash",Auto components,41,0.662,0.118,0.171,5531.46,0.283,0.466,22450.9,0.077,0.503,0.344,0
MSME1515,"Maharaj, Varty and Kala",Wholesale Trade,7,0.908,-0.077,0.218,29395.62,0.249,0.316,50093.35,0.181,0.44,0.135,1
MSME1516,Khanna Inc,Retail/Kirana,74,0.689,0.063,0.083,33200.91,0.37,0.363,69032.14,0.039,0.117,0.149,1
MSME1517,"Khurana, Raja and Chaudhry",Agri-trade,39,0.347,0.319,0.198,40285.25,0.389,0.043,51994.41,0.141,0.229,0.57,0
MSME1518,Kibe-Kara,Manufacturing,22,0.866,-0.055,0.196,6441.75,0.139,0.155,69807.09,0.066,0.176,0.442,1
MSME1519,Bhasin Inc,Retail/Kirana,61,0.837,0.115,0.016,12586.98,0.522,0.361,28491.89,0.028,0.391,0.534,0
MSME1520,Dass Inc,Wholesale Trade,12,0.735,0.123,0.399,22625.35,0.088,0.383,34949.62,0.131,0.068,0.612,0
MSME1521,"Dara, Rai and Chandran",Food & Beverage,79,0.839,0.06,0.374,28461.7,0.267,0.495,81310.51,0.084,0.173,0.5,0
MSME1522,Brahmbhatt-Dar,Food & Beverage,10,0.631,0.168,0.272,37298.47,0.046,0.292,33360.96,0.021,0.196,0.244,0
MSME1523,"Balay, Bahri and Gera",Retail/Kirana,38,0.655,0.054,0.219,500.0,0.172,0.063,66198.84,0.043,0.305,0.461,0
MSME1524,"Tara, Saran and Tandon",Services,10,0.609,0.259,0.204,38375.41,0.267,0.265,54129.03,0.197,0.489,0.251,0
MSME1525,"Zachariah, Shan and Bhakta",Auto components,50,0.692,0.027,0.15,16814.46,0.438,0.543,38576.67,0.231,0.482,0.408,1
MSME1526,Vohra Inc,Manufacturing,16,0.766,-0.165,0.056,34048.1,0.613,0.3,42712.42,0.159,0.49,0.117,1
MSME1527,"Dixit, Kurian and Shanker",Retail/Kirana,93,0.587,0.19,0.024,22675.5,0.207,0.294,39799.22,0.206,0.476,0.533,0
MSME1528,"Devi, Chandra and Sant",Auto components,85,0.806,0.03,0.041,17656.7,0.391,0.399,68452.64,0.114,0.208,0.573,0
MSME1529,Mitter-Parmer,Services,4,0.707,0.295,0.226,9287.41,0.424,0.368,91247.4,0.115,0.28,0.224,0
MSME1530,Bahl-Basak,Agri-trade,77,0.905,-0.151,0.217,14342.87,0.153,0.073,98934.63,0.076,0.069,0.492,0
MSME1531,Viswanathan-Kannan,Retail/Kirana,44,0.915,0.171,0.203,22494.9,0.273,0.241,58.5,0.125,0.527,0.068,0
MSME1532,"Virk, Bhavsar and Mani",Food & Beverage,34,0.842,-0.087,0.418,21558.66,0.362,0.083,60986.02,0.071,0.253,0.295,1
MSME1533,Saraf-Dani,Services,18,0.771,0.201,0.118,7424.45,0.135,0.088,49117.47,0.06,0.093,0.764,0
MSME1534,Das-Mangat,Agri-trade,38,0.61,0.223,0.201,35599.16,0.531,0.153,35432.19,0.08,0.163,0.37,1
MSME1535,"Nayak, Lala and Barad",Auto components,16,0.821,0.051,0.199,12069.46,0.163,0.18,72848.34,0.078,0.242,0.556,0
MSME1536,Manda Group,Food & Beverage,95,0.668,0.24,0.236,31980.13,0.384,0.211,1867.78,0.119,0.155,0.322,1
MSME1537,Bhalla-Toor,Textiles,26,0.97,0.225,0.152,14976.26,0.156,0.064,35327.4,0.128,0.237,0.646,0
MSME1538,"Goswami, Kumar and Mane",Retail/Kirana,8,0.51,-0.238,0.331,37830.47,0.593,0.438,28282.02,0.058,0.53,0.36,0
MSME1539,Memon Inc,Services,43,0.609,0.125,0.122,34977.61,0.365,0.427,38881.07,0.045,0.128,0.369,0
MSME1540,Chander-Pandya,Services,24,0.866,0.121,0.118,14857.96,0.111,0.023,39064.09,0.046,0.259,0.366,1
MSME1541,Wali Inc,Auto components,91,0.797,0.038,0.03,24672.45,0.482,0.116,69720.17,0.063,0.565,0.625,1
MSME1542,Shukla Inc,Food & Beverage,49,0.879,0.248,0.213,10673.49,0.358,0.18,0.0,0.102,0.04,0.085,0
MSME1543,"Rajagopalan, Srivastava and Kakar",Wholesale Trade,45,0.329,0.216,0.233,17926.55,0.253,0.17,85775.34,0.028,0.155,0.677,0
MSME1544,"Merchant, Ramakrishnan and Bal",Food & Beverage,25,0.531,0.109,0.027,19640.24,0.165,0.415,36071.4,0.114,0.296,0.539,0
MSME1545,"Thakur, Dash and Datta",Food & Beverage,38,0.506,0.064,0.215,500.0,0.194,0.249,42946.02,0.112,0.22,0.586,1
MSME1546,Vala-Tank,Retail/Kirana,58,0.611,-0.18,0.081,17836.41,0.358,0.574,55213.05,0.093,0.403,0.568,0
MSME1547,Doctor-Badal,Services,73,0.453,0.003,0.045,23427.57,0.181,0.256,19409.83,0.043,0.182,0.821,0
MSME1548,Basu LLC,Auto components,73,0.762,-0.139,0.386,24892.2,0.297,0.061,103561.98,0.306,0.197,0.797,0
MSME1549,Aggarwal-Thaman,Wholesale Trade,59,0.696,0.031,0.068,21647.88,0.324,0.125,68847.81,0.106,0.261,0.402,0
MSME1550,Tara LLC,Wholesale Trade,53,0.958,-0.211,0.201,29615.1,0.135,0.391,15192.16,0.112,0.188,0.234,0
MSME1551,Ganesan LLC,Food & Beverage,59,0.718,0.25,0.322,17324.81,0.105,0.085,47565.98,0.073,0.189,0.824,1
MSME1552,Patla-Palla,Wholesale Trade,36,0.759,0.337,0.107,45166.08,0.213,0.36,67257.99,0.188,0.398,0.184,0
MSME1553,"Hora, Loke and Shanker",Agri-trade,29,0.365,-0.132,0.169,8674.44,0.128,0.115,27452.17,0.162,0.148,0.526,1
MSME1554,Lall-Sachdeva,Services,45,0.865,0.049,0.256,26496.79,0.387,0.11,31372.3,0.075,0.274,0.242,1
MSME1555,"Saraf, Mutti and Mahal",Manufacturing,6,0.751,0.069,0.151,10066.76,0.528,0.271,31400.3,0.014,0.027,0.657,0
MSME1556,"Mangal, Bath and Prasad",Services,46,0.756,0.145,0.187,4865.29,0.42,0.335,88466.96,0.025,0.167,0.33,0
MSME1557,Pau Group,Auto components,30,0.551,-0.174,0.096,37234.86,0.063,0.012,101632.83,0.096,0.447,0.565,0
MSME1558,Sagar-Baria,Manufacturing,29,0.673,0.339,0.042,5918.38,0.116,0.637,59408.2,0.095,0.353,0.573,0
MSME1559,"Dhillon, Kunda and Gulati",Auto components,48,0.934,-0.014,0.124,24195.96,0.267,0.32,0.0,0.027,0.148,0.409,1
MSME1560,Bains-Garg,Agri-trade,24,0.824,-0.07,0.087,23176.8,0.47,0.074,105691.93,0.107,0.478,0.096,0
MSME1561,Sangha-Krishnan,Services,23,0.906,0.414,0.238,21538.07,0.204,0.097,40717.4,0.081,0.243,0.413,0
MSME1562,"Mannan, Kade and Chanda",Agri-trade,22,0.647,-0.158,0.081,5401.18,0.527,0.463,64087.95,0.322,0.223,0.58,1
MSME1563,"Apte, Subramaniam and Batta",Textiles,82,0.686,0.085,0.15,26583.09,0.068,0.614,34758.85,0.142,0.155,0.261,1
MSME1564,"Choudhury, Venkataraman and Kumer",Food & Beverage,69,0.447,0.137,0.127,31744.07,0.06,0.041,80583.9,0.156,0.251,0.466,0
MSME1565,Merchant-Bora,Retail/Kirana,34,0.614,0.284,0.021,25105.62,0.178,0.256,14269.54,0.195,0.148,0.556,0
MSME1566,Jani-Rattan,Wholesale Trade,61,0.861,0.381,0.107,20659.86,0.445,0.107,71808.03,0.073,0.162,0.266,0
MSME1567,"Chawla, Sandal and Bhalla",Food & Beverage,17,0.665,0.046,0.479,6451.05,0.05,0.259,0.0,0.111,0.219,0.561,0
MSME1568,"Basu, Agate and Agate",Wholesale Trade,24,0.749,-0.02,0.162,13363.6,0.156,0.292,34438.25,0.194,0.26,0.328,0
MSME1569,Kale Group,Agri-trade,53,0.688,-0.073,0.243,20918.21,0.222,0.154,24463.26,0.108,0.113,0.484,0
MSME1570,Pal-Date,Textiles,48,0.816,-0.009,0.083,33156.46,0.124,0.16,24421.66,0.251,0.277,0.349,0
MSME1571,Vohra PLC,Food & Beverage,68,0.68,-0.026,0.258,34724.09,0.066,0.32,25720.74,0.136,0.095,0.156,0
MSME1572,"Narang, Hegde and Palla",Auto components,27,0.522,0.158,0.239,31765.66,0.475,0.138,34309.03,0.165,0.434,0.804,1
MSME1573,Bath-Ravel,Retail/Kirana,49,0.461,-0.202,0.331,32284.89,0.118,0.257,19519.89,0.087,0.531,0.248,1
MSME1574,Suresh-Hegde,Retail/Kirana,81,0.676,0.006,0.076,5986.29,0.522,0.212,62233.29,0.069,0.255,0.463,0
MSME1575,"Chawla, Nayar and Rajagopalan",Food & Beverage,76,0.745,0.192,0.369,20499.98,0.216,0.296,71931.49,0.021,0.108,0.377,0
MSME1576,Pal PLC,Textiles,57,0.735,0.166,0.179,35000.61,0.404,0.147,8255.35,0.05,0.652,0.785,0
MSME1577,Padmanabhan Inc,Food & Beverage,5,0.919,0.196,0.283,17820.78,0.086,0.166,0.0,0.106,0.387,0.272,0
MSME1578,Ravel LLC,Retail/Kirana,85,0.779,-0.033,0.118,25106.79,0.212,0.126,72230.24,0.025,0.181,0.782,1
MSME1579,"Gera, Karpe and Kala",Retail/Kirana,4,0.701,0.046,0.174,24637.8,0.116,0.252,85511.9,0.098,0.113,0.607,1
MSME1580,Munshi-Roy,Services,49,0.924,0.263,0.059,16841.05,0.342,0.347,9692.4,0.096,0.303,0.698,0
MSME1581,Bahl and Sons,Retail/Kirana,30,0.461,0.203,0.133,33670.47,0.562,0.181,50771.21,0.142,0.057,0.481,0
MSME1582,"Bawa, Kanda and Kannan",Auto components,23,0.603,-0.24,0.158,28915.6,0.147,0.381,38797.0,0.05,0.343,0.313,1
MSME1583,Chowdhury and Sons,Textiles,48,0.775,-0.039,0.075,14945.11,0.254,0.179,80791.43,0.08,0.473,0.667,0
MSME1584,Mani-Oommen,Agri-trade,84,0.67,0.24,0.312,14513.18,0.626,0.251,10409.16,0.28,0.216,0.239,1
MSME1585,Shanker LLC,Wholesale Trade,17,0.488,0.173,0.189,25432.96,0.144,0.336,0.0,0.309,0.272,0.332,1
MSME1586,Chander-Bhatnagar,Retail/Kirana,26,0.8,0.101,0.282,25460.56,0.341,0.215,91250.13,0.093,0.383,0.836,0
MSME1587,"Chana, Pau and Oza",Textiles,75,0.812,-0.229,0.056,22252.18,0.493,0.339,55069.74,0.186,0.379,0.358,0
MSME1588,Datta-Sandhu,Textiles,4,0.635,-0.026,0.47,40386.94,0.158,0.501,37043.89,0.097,0.198,0.254,0
MSME1589,"Jain, Basu and Narayan",Textiles,19,0.506,-0.026,0.136,11198.3,0.615,0.072,59889.43,0.059,0.296,0.568,1
MSME1590,"Prasad, Divan and Kalita",Textiles,72,0.815,0.048,0.109,29859.27,0.413,0.054,21269.7,0.123,0.019,0.542,0
